"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"34755","11.147258","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=980, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"35069","11.250099","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=981, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"35441","11.352531","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=982, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"35792","11.454839","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=983, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"36089","11.557626","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=984, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"36433","11.659693","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=985, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"36746","11.762343","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=986, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"37084","11.864411","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=987, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"37391","11.966784","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=988, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"37757","12.069535","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=989, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"38088","12.171613","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=990, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"38445","12.274333","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=991, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"38832","12.376992","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=992, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"39196","12.478577","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=993, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"39595","12.580861","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=994, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"40265","12.786001","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=996, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"40574","12.888682","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=997, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
