"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"30767","13.946247","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=456, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31040","14.048647","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=457, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31272","14.151007","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=458, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31483","14.253489","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=459, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31691","14.356425","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=460, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31873","14.458228","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=461, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32080","14.560877","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=462, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32295","14.663128","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=463, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32509","14.765443","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=464, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32721","14.867816","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=465, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32905","14.970212","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=466, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33056","15.072638","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=467, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33279","15.175350","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-93 dBm","32 dB","Beacon frame, SN=468, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33506","15.277397","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=469, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33694","15.379823","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=470, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33844","15.482223","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=471, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"34047","15.585024","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=472, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"34197","15.687059","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=473, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"34420","15.789411","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=474, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"34596","15.892064","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=475, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
