"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"95917","54.963070","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1195, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"96390","55.065520","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1196, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"96921","55.167880","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1197, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"97391","55.270643","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1198, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"97819","55.372697","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1199, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"98124","55.475099","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1200, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"98432","55.577513","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1201, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"98850","55.679864","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1202, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99082","55.782285","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1203, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99290","55.884656","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1204, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99518","55.987319","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-92 dBm","37 dB","Beacon frame, SN=1205, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99684","56.089615","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1206, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99970","56.191865","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=1207, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"100156","56.294359","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1208, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
