"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"14246","9.231369","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3233, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14390","9.333813","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3234, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14536","9.436153","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3235, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14695","9.539189","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3236, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14828","9.641378","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3237, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14927","9.743395","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3238, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15095","9.845836","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3239, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15198","9.948140","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3240, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15321","10.050572","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3241, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15446","10.153013","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3242, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15595","10.255400","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3243, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15738","10.357900","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3244, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15904","10.460278","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3245, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16125","10.562403","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3246, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16293","10.665167","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3247, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16455","10.767380","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3248, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16613","10.869881","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3249, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16743","10.972443","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3250, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16864","11.074573","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3251, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17006","11.176985","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3252, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17131","11.279742","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3253, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17245","11.381795","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3254, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17373","11.485018","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3255, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17487","11.586830","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3256, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17665","11.688953","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3257, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17824","11.791400","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3258, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17960","11.893737","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3259, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18102","11.995985","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3260, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18254","12.098578","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3261, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18492","12.303395","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3263, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18627","12.405832","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3264, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18770","12.508595","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3265, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18896","12.610562","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3266, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19044","12.712981","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3267, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19209","12.815390","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3268, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19319","12.917795","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3269, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19442","13.020430","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3270, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19542","13.122619","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3271, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19691","13.225289","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3272, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19847","13.327406","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3273, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20050","13.430847","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3274, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20206","13.532266","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3275, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20343","13.634545","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3276, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20476","13.736960","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3277, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20604","13.839406","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3278, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20763","13.941767","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3279, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20882","14.044165","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3280, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"20983","14.146364","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3281, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21123","14.248742","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3282, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21269","14.351174","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3283, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21451","14.453769","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3284, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21606","14.556180","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3285, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21717","14.658874","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3286, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21845","14.760984","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3287, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21989","14.863148","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3288, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22088","14.965757","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3289, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22200","15.068711","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3290, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22301","15.170555","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3291, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22410","15.273264","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3292, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22518","15.375429","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3293, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22666","15.477850","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3294, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22839","15.580229","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3295, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22975","15.682445","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3296, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23119","15.785685","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3297, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23267","15.887722","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3298, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23441","15.989778","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3299, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23581","16.092252","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3300, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23730","16.194964","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3301, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23882","16.296925","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3302, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24045","16.399093","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3303, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
