"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4192","50.445519","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-86 dBm","20 dB","Beacon frame, SN=2579, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4253","51.981404","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-62 dBm","-82 dBm","20 dB","Beacon frame, SN=2584, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4279","52.288620","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-82 dBm","16 dB","Beacon frame, SN=2585, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4285","52.595948","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-82 dBm","16 dB","Beacon frame, SN=2586, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4290","52.903156","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-61 dBm","-82 dBm","21 dB","Beacon frame, SN=2587, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4304","54.439123","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-53 dBm","-82 dBm","29 dB","Beacon frame, SN=2594, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4327","54.746275","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-61 dBm","-82 dBm","21 dB","Beacon frame, SN=2595, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4330","55.053565","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=2596, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4331","55.360779","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-55 dBm","-86 dBm","31 dB","Beacon frame, SN=2597, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4332","55.667984","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=2598, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4348","55.975179","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=2599, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4411","57.511184","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-87 dBm","31 dB","Beacon frame, SN=2604, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4429","58.125576","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-48 dBm","-87 dBm","39 dB","Beacon frame, SN=2606, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4455","58.432789","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-49 dBm","-87 dBm","38 dB","Beacon frame, SN=2607, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4474","59.968823","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-48 dBm","-87 dBm","39 dB","Beacon frame, SN=2612, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4508","60.275969","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-41 dBm","-87 dBm","46 dB","Beacon frame, SN=2613, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4530","60.583224","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-46 dBm","-87 dBm","41 dB","Beacon frame, SN=2614, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4531","60.890437","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-40 dBm","-87 dBm","47 dB","Beacon frame, SN=2615, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4532","62.426408","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-35 dBm","-88 dBm","53 dB","Beacon frame, SN=2620, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4553","62.733591","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-30 dBm","-88 dBm","58 dB","Beacon frame, SN=2621, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
